English,animal,arm,ashes,bark,bed,belly,big,bird,bite,blood,bone,breast,burn,child,cloud,come,count,die,dog,drink,ear,eat,egg,elephant,eye,face,fall,"fat, oil",feather,fingernail,fire,fire-wood,fish,five,fly,four,give,goat,"ground, soil",hair,head,hear,heart,horn,house,hunger,intestine,kill,knee,knife,know,leaf,leg,liver,louse,man,moon,mouth,name,navel,neck,night,nose,one,person,rain,road,root,salt,sand,see,send,shame,sing,skin,sky,sleep,smoke,snake,spear,steal,stone,sun,tail,ten,three,tongue,tooth,tree,two,urine,village,vomit,walk,war,water,wind,woman,dew,iron
B25_Kota,sito,o-bɔ,i-kuhu,e-bayi,dʒako,mw-ɛɲi,bo-nɛnɛ,i-ɲɔdʒi,bo-lumaka,ma-za,ehe,i-bɛ,bo-tumbaka,mw-ana,i-ŋgutu,bo-yaka,bo-laŋgaka,bo-waka,m-bvwande,bo-ŋwaka,i-lɔ,bo-dyaka,i-tʃɛhi,zɔku,dʒ-iyɔ,b-oho,bo-tuwaka,ma-dʒi,dy-aha,o-ɲa,dʒ-iyo,w-eya,fɛ,n-taɲi,bo-saŋgaka,naɲi,bo-pɛhɛtʃyɛ,e-taba,hehe,o-huwe,m-olo,bo-yokaka,n-lema,in-laka,e-loŋgwɛ,za,my-ɛɲa,bo-bomaka,i-bɔŋgɔ,m-bɛdʒi,bo-yebaka,i-kayi,oko,ehɛtʃyɛ,hidʒɛ,haŋgwɛ,ŋgɔndɛ,nhoko,dʒinɔ,itoŋgu,tʃiŋgo,epundu,dʒõũ,yɛkɔ,moto,mbvuwa,pɛyi,ŋkaŋga,matʃyemba,inhɛli,bo-yɛn-ɛtʃyɛ,bo-lomaka,hɔyi,bo-yembaka,ŋkaza,iko,iyɔ,botuku,tadʒi,ikɔŋgɔ,bo-hibaka,imaɲa,yoyi,ŋkondo,dʒɔ̃ũ,hato,elemi,dʒinɔ,mwele,ba,miɲɛ,mboka,bo-hepaka,bo-dʒoŋgaka,ibadʒi,inso,iŋgoŋgo,umwari,inɔkɔ,eleŋga
B251_Shake,tʃitʃi,m-bɔ,ri-su,yiri,daki,moyu,u-nɛni,nɔnu,u-guma,ri-kilɛ,yesɔ,ri-bɛlɛ,u-dzikikyɛ,mwata,lɛ-ŋgutʃu,u-zakɔ,u-gaŋkɔ,u-wakɔ,m-bvwa,u-nɔta,ri-wɔgɛ,u-dʒakɔ,dz-aki,zɔku,dʒ-isi,b-oso,o-dʒuma,ri-wɔ̃,salɔ,lɛ-ɲalɔ,dʒutɛ,y-eyɔ,sɛ,tanɛ,o-dɛsa,nayɛ,u-kaba,tabɔ,mi-sɛỹi,sũ,m-ogo,u-yoka,ri-kɔlɔ,ŋ-gakɔ,guŋkwɛ,zalɔ,mw-elɔ,u-yola,ri-bɔ,pã,u-numbvukwa,lɛ-kayĩ,kolo,sɛki,ninɔ,saŋgwɛ,ŋkɔndʒɛ,ŋwanwɔ,dʒinɔ,ritɔru,kĩ,rintɔ,dʒolo,woto,mutʃu,mbvulɔ,zelɔ,kã,rikempɔ,rikɛzɛ,u-yɛna,o-gomaga,sɔnu,u-yempa,kundɔ,dubɔ,utɔ̃ka,yarikyɛ,ɲɔwɛ̃,rikɔ,u-yiba,rikɔku,yuŋwɛsɛ,kundʒu,dʒomo,gagɛ,lɛdeme,risuŋwɔ,yege,ba,mizari,koro,u-dowa,o-lanta,ribari,maŋku,ripɛpɛ,mwayito,muʒuʒu,kɛ
B252_Mahongwe,tʃitu,o-bɔ,i-kuhu,e-bayi,dʒako,mwɛ̃hi,?,i-ɲɔdʒi,-tòóná,ma-za,ehe,i-bɛ,-túmbá,mw-ana,i-ŋgutu,u-zako,i-taŋgaka,i-waka,m-bwande,nɔ̀ɔ̀tɔ́,-lòòyí,i-dʒaka,i-tʃɛyi,zɔku,dʒ-ihɔŋ,b-oho,?,ma-dʒi,i-sala,o-ɲa,w-eya,w-eya,fɛ,?,-ʃàmbà,?,-kàbá,e-taba,hɛndʒɛ,-húwé,m-olo,-yóókà,lema,n-laka,e-loŋgwɛ,za,mw-eyaŋ,-bómà,i-bɔŋgɔ,m-bɛdʒi,-yéebá,i-kayi,oko,ehɛtʃɛ,hidʒɛ,ndomana,ŋgɔndɛ,huŋko,dʒinɔ,itɔŋgu,tʃiŋgo,epundu,dʒɔŋu,ɔ̀ɔ̀kɔ̀,moto,mbuwa,pɛyi,ikaŋga,matʃemba,hɛli,-yeěné,?,hɔyi,i-yembaka,ŋkaza,iko,iyɔ,otuku,tadʒi,ikɔŋgɔ,?,imaɲa,yoyi,ŋkɔndɔ,?,?,elemi,dʒino,mwele,-ɔɔ̌lɛ́,miɲɛ,mboka,?,-lààlà,ibadʒi,inso,ŋgoŋgu,mwayito,inzuzu,eleŋga
B301_Viya,ɣebo,ɣɔɣɔ,mɔ-tɔ,weko,e-kɔkɔ,e-bumu,o-da,ɲoni,e-taβita,tsina,ɣepa,e-bɛnɛ,e-tumba,mw-ana,o-boŋgeboŋge,e-ɛdya,e-taŋga,e-ɣwa,m-bwa,e-nwa,e-to,e-ea,e-ake,n-dzaɣo,iso,oso,e-laɣa,ma-di,o-saa,w-aa,iko,ɣe-ɣoni,tsue,tani,e-purumuɣa,nna,e-βana,taba,tɔtɔ,o-soɣe,m-otso,e-oko,mo-tema,tseba,n-dzobo,n-dzaa,mo-ya,e-baŋga,e-βɔŋgɔ,tsuma,e-mɛɲa,wabi,ebɛɔ,ebumba,tsidi,mobaɣa,tsoŋge,munwa,ina,motɔŋgɔ,ɣemeno,pitsi,eeo,mwatata,ima,mbuwa,ndzea,mwaŋgi,βyaŋga,mosɛɣɛ,eɛna,etoma,tsɔni,eemba,moɣɔbɔ,tomba,βiyo,motsutsu,ɲɔɣɔ,eɔŋga,eiba,etae,eombe,moɣea,eɣomi,tato,oleme,ino,mote,bae,masuba,mboka,eoɣa,edyɔ,ebadi,mamba,ɣepɛpɛ,moɣɛtɔ,eβɛmbɛ,mosaɣo
B302_Himba,e-ɲama,o-ɣɔɣɔ,omi-tɔ,no-dyeko,i-daka,i-buyi,ɣe-daβeka,e-ɲɔyi,mo-nomaɣo,di-ndzina,ɣe-ɣepa,i-bɛnɛ,mo-tumbaɣo,omw-ana,i-kuti,dyaa,mo-taŋgaɣo,mw-iwaɣa,ei-fa,mw-ɔŋgaɣo,i-toyi,mo-ɲeaɣo,i-bweŋgee,en-dzɔɣu,itsɔ,oso,mw-aɣaɣo,ma-madi,no-tsaa,no-dyata,βi-βoyi,ɣe-hako,ei-tswe,tanɛ,mo-βɛaɣo,nayi,mw-itsaɣo,e-taba,mo-hɛŋgɛ,no-tsoɣe,omo-tswɛ,mw-oɣaɣo,mo-tema,no-tseba,en-dako,en-dzana,om-ina,mo-bɔkaɣo,i-bɔŋgɔ,e-tsuma,mo-nɔŋgɔnaɣo,no-dyabi,otanda,ibumba,eŋgina,monimeto,eŋgɔndɛ,wana,ina,motɔŋgu,moŋgoŋga,imbitsi,nopombo,pɔkɔ,omoma,eniŋgo,epɔnɔ,motamba,βiβyaŋga,mohiɣɛ,mwɛnaɣo,motomaɣo,etsɔyi,motoaɣo,moɣɔbɔ,noba,βiβinɔ,motutu,eɲɔɣɔ,iŋgɔŋga,mwifaɣo,itaɛ,ekombe,mokondo,ndzima,tato,nonenee,ino,ɣetete,bae,mamiɲɛ,ekaa,motoβaɣo,moɣɛndaɣo,ibadi,maiŋgo,ipɛpɛ,omwato,ipɛmbɛ,mohaɣo
B304_Pinzi,e-ɲama,o-ɣɔɣɔ,mo-tɔyi,no-neko,laka,buyi,mo-laβalaβa,e-ɲɔyi,mo-nomaɣa,no-ndzina,ɣe-ɣepa,wɛnɛ,mo-loledya,omw-ana,m-bitsi,mw-idyaɣa,mo-taŋgaɣa,mo-yiɣwaɣa,e-fa,mw-ɔŋgaɣa,toyi,mw-iɲaɣa,boŋgo,en-dzɔɣu,itsɔ,ɣe-dimo,mo-laɣaɣa,ma-madi,no-tswala,no-nɛta,βi-βoyi,ɣe-sakɔ,i-tswe,tanɛ,mo-βɛlaɣa,nayi,mw-itsaɣa,e-taba,mo-sɛŋgɛ,no-tsoɣe,omo-tswe,mw-oɣaɣo,mo-tema,no-tseba,en-dako,en-dzana,omw-ina,mo-bɔkaɣa,bɔŋgɔ,e-tsuma,mo-nɔŋgɔnaɣa,no-dyabi,otanda,bumba,eŋgina,momeneto,eŋgɔndɛ,ɣwana,ina,motɔŋgu,moŋgoŋga,epitsi,opombo,pɔkɔ,omomo,eniŋgo,epɔnɔ,moɣaŋgi,βiβyaŋga,mosiɣɛ,mwɛnaɣa,motomaɣa,etsɔyi,motolaɣa,moɣɔbɔ,nooba,βiβinɔ,motsutsu,omamba,ŋgɔŋga,mwifaɣa,tale,ekombe,mokondo,ndzima,tato,nonenele,inɔ,ɣetete,bale,mamiɲɛ,ekala,motoβaɣa,moɣɛndaɣa,badi,meeŋgo,pɛpɛ,omwato,pɛmbɛ,mosaɣo
B305_Vove,ɲama,o-ɣɔɣɔ,mu-tu,soŋgo,taŋge,e-bumu,daβa,ɲɔni,bakaka,n-dzina,ɣ-yepa,e-bɛnɛ,tumbaka,mw-ana,boŋge,dyaka,taŋgaka,ɣwaka,m-bwande,ɲwaka,i-to,aka,e-kɛyi,n-dzao,iso,m-balaŋga,laɣaka,ma-di,o-sala,ɣw-ata,iko,ɣə-ɣoni,tswe,tane,βɛlaka,nai,kabaka,taba,tɔtɔ,soɣe,mo-tso,okoko,mu-tema,tseba,n-dzobo,in-dza,mu-ya,bomaka,e-βɔŋgɔ,m-bɛdi,mɛ-ɲaka,o-ɣɛya,ebɛɔ,cì-vú,tsidi,ebaɣa,tsoŋge,muɲa,ina,mutɔŋgɔ,muŋgoŋga,eβiti,opombo,pɔkɔ,mutu,mbuwa,ndziya,mwaŋgi,kɛbɔ,musiɣe,ɛnaka,tomaka,tsɔni,sembaka,muɣɔbɔ,loba,βilo,mututu,ɲɔɣɔ,ɔŋgɔ,ibaka,etaa,ombe,muɣɛɛ,ndzima,tato,oleme,ino,mwete,bale,masoba,ombo,bondaka,dyɔkɔ,obadi,mamba,ɣəpɛpɛ,muɣɛtɔ,eβɛmbi,musaɣo
B31_Tsogo,ɲama,o-ɣɔɣɔ,mɔ-tɔ,weko,e-kɔkɔ,e-buyi,dada,ɲoi,e-mbata,n-dzina,ɣepa,e-bɛnɛ,e-tumba,mw-ana,o-boŋge,e-ya,e-taŋga,e-ɣwa,in-dzwa,e-ɲwa,e-ato,e-dyea,e-boŋgo,n-dzɔku,isɔ,oso,e-aɣa,ma-di,o-saa,ata,sɔtɔ,ɣe-sakɔ,ei-tswe,tae,e-βɛa,nae,e-itsa,taba,tɔtɔ,o-soɣe,mo-tse,e-oko,mo-tema,tseba,ɛ-ba,n-dzaa,m-oa,e-dyoa,e-bɔŋgɔ,tsuma,e-mɛɲa,wabi,motanda,ebumba,ŋgina,momoɣoo,ŋgɔndɛ,moɲa,ina,motɔŋgu,ɣemɛnɔ,pitsi,opombo,pɔkɔ,moma,mbuwa,ndzea,mokaŋgi,βyaŋga,mosiɣɛ,eɛna,etoma,tsɔyi,etoa,moɣɔbɔ,oba,βiyɔ,motutu,ɲɔɣɔ,ekɔŋgɔ,eiswa,etae,kombe,mokondo,ndzima,tato,omɛni,inɔ,ɣetete,bae,maiɲɛ,mboka,eoɣa,ekenga,ebadi,mɛba,ɣepɛpɛ,moɣɛtɔ,epɛmbɛ,mosaɣo
B32_Kande,e-ɲama,ŋ̩-gɔɣɔ,mo-tɔni,no-dyeku,n̩-laka,m̩-buni,laβa,e-ɲoɲi,mo-nomaɣa,di-ndzina,ɣe-ɣepa,m̩-wɛnɛ,mo-lolidyaɣa,omw-ana,ŋ̩-kutʃu,mo-dyaɣaɣa,mo-taŋgaɣa,mo-bwaɣa,em-fa,mw-oŋgaɣa,n̩-toni,mw-iɲaɣaɣa,m̩-boloŋgo,en-dzɔɣu,n̩̩-tʃɔ,n̩̩-tadi,mo-pokaɣa,ma-madi,no-tʃwala,no-dyɛta,βi-βoni,ɣe-sako,en-tʃwe,ta,mo-βɛlaɣa,na,mw-ontsaɣa,e-taba,mo-sɛŋgɛ,no-tʃoɣe,omo-tʃwe,mw-oɣaɣo,mo-tema,e-tʃeba,en-dako,en-dzana,om-ina,?,m̩-bɔŋgɔ,e-tʃuma,mo-βekaɣa,no-dyabi,otanda,nopiko,eŋgina,momenetu,eŋgɔndɛ,owana,n̩na,motɔŋgu,moŋgoŋga,m̩bitʃi,opombo,pɔkɔ,omoma,eɲiŋgo,epɔnɔ,moɣaŋgi,βiβyaŋga,mosiɣe,mwenaɣa,motomaɣa,etʃɔni,motolaɣa,moɣɔbɔ,noloba,βiβinɔ,motutu,eɲɔɣɔ,ŋ̩ŋgɔŋga,mwumfaɣa,n̩tale,ekombe,mokondo,ndzima,tato,nonene,n̩no,ɣetete,bale,mamiɲe,ekala,motoβaɣa,moɣɛndaɣa,ŋ̩ŋgɔbi,maŋgu,m̩pɛpɛ,omwatu,m̩pɛmbɛ,mosaɣu
B404_Ngubi,ɣi-bulu,ɣɔɣɔ,bu-fu,?,?,di-fumu,mu-nɛnɛ,ɲuni,ɣu-raβara,m-ɛŋga,ɣi-βisi,di-bɛnɛ,ɣu-ɲɛŋga,mw-ana,ɣi-βindi,?,?,ɣu-fwa,m-ɔndɛ,ɣu-nwa,mu-uru,ɣu-ya,di-ki,tsawo,di-isu,u-usu,ɣu-bɔndɔsa,m-atsi,du-sala,ɲala,ru-βya,kuɲi,ɣi-bɛrɛ,ranu,ɣu-dumuɣa,?,ɣu-βɛɣa,taba,tando,mu-leeŋgi,?,ɣu-wu,mu-rima,m-pundzi,tsubu,tsala,mu-ya,ɣu-bɔka,di-kɔtɔlɔ,m-bɛtsi,?,di-ɣaya,binama,?,tsina,dimbaɣala,tsuŋgi,munwa,dina,?,iɣɔri,motuɣu,diilu,mɔsi,mutu,fula,tsiya,dirambaka,nuŋgu,mutsɛŋgɛ,ɣwɛna,?,tsɔni,ɣwimba,ɣibanda,tuba,ɣɔlɔ,lotutu,ɲɔɣa,dikɔŋgɔ,ɣumwefi,dimaɲi,dyubi,muɣila,diɣumi,raro,dulini,dilo,mweri,bayi,masuba,diimbu,?,ɣwɛnda,?,maamba,puŋga,muɣɛtu,muɲɛkɛ,mwaŋga
B41_+I97+17+172:209,ɲamə,di-kakə,di-buufu,du-suŋgu,?,di-fumu,neni,ɲooni,ɣu-ravirə,ma-luuŋgu,ɣi-visi,di-beeni,ɣu-ɲenzə,mw-anə,ɣi-dyumbi,ɣu-ruuɣə,ɣu-taŋgunə,ɣu-fu,mo-ondi,ɣu-nu,di-iru,ɣu-yi,dii-ki,n-zawu,d-isu,?,ɣu-beruɣə,ma-atsi,du-salə,dw-alə,ru-uvi,?,ɣi-soonzi,raanu,ɣu-purəmuɣə,nə,ɣu-veɣə,ɣi-kalələ,bu-tambə,du-naaŋgə,mu-uru,ɣu-ulu,mu-rimə,di-siɣi,n-daɣu,n-zalə,mu-sopu,ɣu-bokə,di-kootulu,m-betsi,ɣu-yabə,du-ɣayi,ditambi,dibali,dusinə,dibaɣələ,tsuuŋgi,muunu,diinə,diɣumbə,ŋgori,dibeeti,mbasu,ɣimoosi,mutu,mfulə,nzilə,mwaanzi,keebu,musyeɣi,ɣulabə,ɣu-rumə,ɣisoɲi,ɣuumbə,ɣikatə,yuulu,ɣiyelu,mutsuruvi,ɲoɣə,dikoŋgu,ɣudaɣə,dimaɲi,dyuumbi,muɣilə,diɣumi,reru,dulimi,diinu,muri,beyi,masubə,diimbu,ɣuluɣə,ɣwəndə,mutsiiŋgu,maambə,puuŋgə,muɣeetu,disalə,budilu
B42_Sangu_Mi,ɲamə,ɣooɣu,di-buufu,di-suuŋgu,taaŋgi,di-fumu,lə,ɲoɲi,u-kaɣə,ma-luuŋgu,i-βisi,di-bɛɛnə,u-yɔkə,mw-anə,i-pumə,u-yitsə,u-talə,u-fu,mɔ-ɔndə,u-nu,dy-aru,u-yi,di-ki,n-dzawu,di-isu,m-baləŋgə,u-laɣə,ma-atsi,di-tsalə,di-ɲalə,m-bawu,i-sotsu,i-bɛrə,raanu,u-βɛləmə,nə,u-βɛɛɣə,tabə,mu-tambə,di-naŋgə,mu-ru,u-yulu,mu-rimə,tseembu,n-daɣu,n-dzalə,mu-sopu,u-bɔkə,di-ɣonuŋgu,m-betsi,u-yaabə,di-ɣayi,ɣyoru,dibali,tsinə,dibaɣələ,tsuuŋgi,munə,dinə,diɣumbə,diɣɔrə,dibeeti,mbasu,moosi,mutu,fulə,nzilə,mukaŋgə,kyebu,museɣi,ulabə,u-sind-iɣə,tsoɲi,uyimbə,ikatə,yulu,ɣyolu,nzumbili,ɲɔɣə,dikooŋgu,uyibə,dimaɲi,ɲaŋgu,muɣilə,diɣumi,reru,dilimi,dinu,mwiri,beyi,masubə,diimbu,uluɣə,uyɛndə,?,maambə,diβuɣə,muɣyetu,disalə,mwaŋgə
B42_Sangu_Mb,ɲamə,?,di-buufu,di-suuŋgu,?,di-fumu,u-nenə,ɲoɲi,u-kaɣə,ma-luuŋgu,i-visi,di-beenə,u-yokə,mw-anə,i-pumə,u-ruuɣə,u-raŋgə,u-fu,m-ondə,u-nu,dy-aaru,u-yi,di-ki,n-zawu,di-isu,?,u-beruɣu,m-atsi,di-tsalə,di-ɲalə,m-bawu,i-sotsu,i-soonzi,raanu,u-purumuɣe,biibi-na,u-veɣə,tabəkeŋgi,mu-tambə,di-naŋgə,mu-ru,u-yulu,mu-rimə,tsembu,n-daɣu,n-dzalə,mu-sopu,u-bokə,di-ɣonuŋgu,m-betsi,u-yabə,di-ɣayi,?,dibali,tsinə,dibaɣələ,tsuuŋgi,munə,nduɣə,diɣumbə,diɣɔrə,dibeeti,mbasu,moosi,mutu,fulə,nzilə,mukaaŋgə,kyebu,museɣi,ulabə,u-sind-iɣə,tsoɲi,uyimbə,ikatə,yuulu,ɣiyolu,nzumbili,ɲoɣə,dikooŋgu,uyibə,dimaɲi,dyuumbi,muɣilə,diɣumi,reru,dilimi,dinu,mwiri,beyi,məsubə,diimbu,uluɣə,uyendə,mutsiiŋgu,maambə,divuɣə,muɣyeetu,disalə,budilu
B43_Punu,ɲamə,di-kakə,di-buufu,yi-balu,?,mo-oyi,u-neni,tsoli,u-ɣakə,ma-luuŋgu,yi-viisi,di-beeni,u-ɲenzə,mw-aanə,yi-duduumbi,u-ruuɣə,u-raŋgə,u-fu,m-ondi,u-nu,di-tudʒi,u-dʒi,dy-aki,n-zawu,di-isu,?,u-beruɣə,ma-atsi,du-salə,dw-alə,mu-dʒi,mu-kaanzu,ɲ-amə,raanu,u-purumuɣə,nə,u-veɣə,tabəmupusə,bu-tambə,du-naaŋgə,mu-ru,u-ɣuulu,mu-rimə,di-siyi,n-daɣu,n-zalə,mu-sopu,u-bokə,di-kootulu,di-baɣə,u-dʒaabə,du-ɣadʒi,ditaambi,mboombu,dutsinə,dibaalə,tsuuŋgi,munu,diinə,diɣumbə,kiŋgu,mukolu,mbasu,yimoosi,mutu,mfulə,nzilə,duŋgaanzi,musayi,yisyeyi,ulabə,u-tiində,yisoɲi,uwimbilə,muɣande,dʒuulu,yilu,nzumbili,ɲoɣə,dikooŋgu,udaɣə,dimaɲi,wiisi,muyilə,diɣumi,ryeru,dulimi,diinu,mwiri,bedʒi,masubə,diimbu,uluɣə,uwəndə,mutsiiŋgu,maambə,puuŋgə,muɣeetu,disalə,budilu
B44_Lumbu,m-bitsi,di-kandə,di-buufu,dù-bálì,?,yi-fumu,u-neni,nuni,u-ɣakə,me-eŋgə,mu-veesi,di-beeni,u-layisi,mw-aanə,di-duŋgə,u-tuɣə,u-raŋgə,u-fu,m-ondi,u-nu,dy-aaru,u-yi,di-ki,n-zawu,diisu,?,u-beruɣə,mu-leembu,du-salə,du-ŋgoŋgulə,m-baatsu,kuɲi,m-bitsi,raanu,u-puruɣə,nə,u-veɣə,koombu,bu-toɣu,mu-leŋgi,mu-ru,u-ɣuulu,mu-rimə,dí-síhí,n-zubu,n-zalə,mw-ili,u-bokə,di-ɣuŋgulu,m-beli,u-yabə,di-ɣayi,ditaambi,duboombu,dutsinə,dibaɣələ,ŋgoondi,munu,diinə,muɣumbə,yimenu,bwilu,diyilu,mviimbə,mutu,mvulə,nzilə,duŋgaanzi,saalu,gisiegi,umonə,u-fiilə,tsitsoɲi,uwimbilə,muɣande,diyuulu,yilu,mwiisimbaatsu,ɲoɣə,dyoŋgə,uwibə,dimaɲi,bwiisi,muyilə,kumi,tatu,dulimi,dinu,muri,oli,masubə,bwaalə,uluɣə,uwendə,mutsiiŋgu,maambə,peemu,muɣeetu,dinoɣu,butali
B501_Wanzi_E,ɲama,ɣɔɔɣɔ,li-futu,u-suuŋgu,taaŋgi,mooɲi,u-neni,ɲori,u-kaɣa,ma-kila,li-βisi,li-bɛɛlɛ,u-ɲɛŋgisɛ,mw-aana,li-βoɣa,?,u-tala,u-kwa,m-vwaandi,u-ɲwa,li-tswi,u-nza,?,n-zoku,nziisu,?,u-bwa,?,lí-ca̍la̍,li-ɲara,?,mu-seenza,tswi,taanu,ì-dúmàɣà,na,u-βɛ,?,tɔtɔ,li-tsuɣi,mu-tswɛ,?,mu-tema,tseembu,n-zɔ,n-zala,?,u-boma,li-bɔɔŋgɔ,m-beeri,u-yaaβa,li-kaya,ɣuulu,libali,tsina,libaala,ŋgɔndɛ,muɲwa,kuumbu,mutoru,likiiŋgu,piipi,?,mosi,muutu,mvulu,nzela,mukaŋgi,muŋgwa,muɲɛɛŋgɛ,umɔnɔ,utoma,bufutu,uyemba,mukɔβɔ,yulu,tɔlɔ,?,taari,musɔmɔ,uyiβa,limaɲa,litari,mukela,likumi,?,lilimi,nziiɲu,?,-ɔ̀ːlɛ̀,masuβu,?,uloɣa,íyɛ́ːndɛ̀,?,maamba,libuuŋgi,mukaasu,linɔɣɔ,utali
B501_Wanzi_Mo,ɲama,ɣɔɔɣɔ,mu-futu,u-suuŋgu,taŋgi,mo-oɲi,bu-la,ɲori,u-kaɣa,ma-kila,i-βiʃi,i-bɛɛle,u-tsuɣa,mw-ana,i-buuŋgi,yaŋga,u-tala,u-kwa,m-vwandi,u-ɲwa,i-tʃwi,u-ndza,m-vuŋgu,n-zoku,dʒiisu,panza,u-bwa,ma-ari,i-tsala,i-ɲaɣa,m-bwaɣu,i-kuɲi,tʃwi,taanu,u-dumuɣa,na,u-βe,taba,tɔtɔ,i-tsuhi,mu-tʃwɛ,u-yuɣa,mu-tema,tseembu,n-dzɔ,n-dzala,mw-aka,u-boma,i-bɔŋgo,m-bwedi,u-yaba,i-kaya,unama,ibali,tʃina,ibaala,ŋgɔndo,muɲwa,kuumbu,mutoru,ikiiŋgu,ufuundu,iyulu,mɔ,muutu,mvula,ndzela,mukaŋga,muŋgwa,muɲɛŋgɛ,umɔnɔ,utoma,bufutu,uyimba,mukɔbɔ,yulu,tɔlɔ,muutihi,taari,ikɔŋgɔ,uyiba,imaɲa,ɲaŋgu,mukela,ikumi,tatu,ilimi,ndʒiinu,muti,ɔlɛ,masuba,bola,uloɣa,yɛndɛ,ibaari,maamba,iβuɣa,mukaasu,inɔɣɔ,utali
B503_Vili,ɲama,ɣɔɔɣɔ,mi-futu,li-suŋgu,taŋgi,mɔ-ɔɲi,?,ɲori,?,ma-kila,ɣi-bisi,li-bɛɛnɛ,?,mw-aana,li-buŋgi,?,?,?,m-vwa,?,li-tʃwi,?,li-kɛyi,n-zoɣu,disu,b-usu,?,m-ari,li-tsala,li-ɲara,m-baɣu,kuuɲi,tʃwi,?,?,?,?,tabakaŋgi,tɔtɔ,li-tsuyi,mu-tʃwe,?,mu-tima,tʃyɛmbu,n-zɔ,n-dzala,mu-sɔpɔ,?,li-bɔŋgɔ,m-bɛɛri,?,li-kaya,ɣuulu,libali,tsina,libaɣala,tʃuuŋgi,muɲwa,yiina,mukumba,kiiŋgu,piipi,liyulu,?,muutu,mvula,ndʒila,mukaŋga,muŋgwa,musyɛɣɛ,?,?,tsoɲi,?,ɣibaanda,yulu,tolo,motutu,taari,likɔɔŋgɔ,?,limaɲa,ɲaŋgu,mukila,?,?,lilimi,yiinu,moti,?,masuβa,bula,?,?,mugyiŋgu,mamba,mupɔŋga,mukaasu,lisala,mwaŋga
B51_Duma,ɲama,ɣɔɔɣɔ,li-futu,u-suuŋgu,taaŋgi,mo-oɲi,u-neni,ɲori,u-kaɣa,ma-kila,li-βisi,li-bɛɛlɛ,u-ɲɛŋgisɛ,mwaana,li-βoɣa,í-yángà,u-tala,u-kwa,m-vwaandi,u-ɲwa,li-tswi,u-nza,-bi,n-zoku,n-ziisu,?,u-bwa,má-ádì,lí-tsálà,li-ɲara,m-bágù,mu-seenza,tswi,taanu,?,na,u-βɛ,?,tɔtɔ,li-tsuɣi,mu-tswɛ,?,mu-tema,tseembu,n-zɔ,n-zala,?,u-boma,li-bɔɔŋgɔ,m-beeri,u-yaaβa,li-kaya,ɣuulu,libali,tsina,libaala,ŋgɔndɛ,muɲwa,kuumbu,mutoru,likiiŋgu,piipi,líyúlù,mosi,muutu,mvulu,nzela,mukaŋgi,muŋgwa,muɲɛɛŋgɛ,umɔnɔ,utoma,bufutu,uyemba,mukɔβɔ,yulu,tɔlɔ,mútútù,taari,musɔmɔ,uyiβa,limaɲa,litari,mukela,likumi,?,lilimi,nziiɲu,?,byɔ́lɛ̀,masuβu,?,uloɣa,ílándà,?,maamba,libuuŋgi,mukaasu,linɔɣɔ,utali
B51_Duma_La,ɲama,ɣɔɔɣɔ,mi-toyi,li-payi,tadu,mo-oyi,bu-la,ɲodi,i-kaɣa,ma-kila,i-βiʃi,li-bɛɛlo,i-tsuɣa,mwana,li-buuŋgi,i-ya,i-tala,i-kwa,m-bwandi,i-ɲwa,li-tswi,i-tʃa,li-bi,n-zoku,di-isu,li-bunzu,i-bwa,ma-adi,li-tsala,li-ɲara,m-baaɣu,li-kuɲi,tswi,taanu,i-dumaɣa,na,i-βe,taba,tɔtɔ,li-tsuhi,mu-tswɛ,i-yoɣa,mu-tema,li-tsɛɛmbo,n-dzo,n-dzala,mw-aka,i-boma,li-bɔɔŋgo,tswaaka,i-yaaba,li-kaya,inama,libali,tʃina,libaala,tsuuŋgi,muɲwa,kuumbu,mutuŋgu,likiiŋgu,ipuundu,liyulu,mɔ,muutu,mbula,ndzela,mukaŋga,ituumbu,munzeeyi,imɔnɔ,itʃinda,bukutu,iyemba,mukaandza,yulu,ʃɔlɔ,mututu,taadi,likɔŋgo,iyiba,limaɲa,muuyi,mukela,likumi,tatu,lilimi,diiɲu,muti,ɔlɛ,masuba,bola,iloɣa,ilaanda,libaadi,maamba,liβuɣa,mukaasu,munɔɣɔ,itali
